Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Norway,Employment rate,Total,% of working age population,2000,77.5
Spain,Exchange rates,Total,National currency units/US dollar,2014,0.752728
Norway,GDP per hour worked,Total,2015=100,2000,90.534798
Norway,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,10.138
Norway,Employment rate,Men,% of working age population,2007,79.525
Norway,Average wages,Total,US dollars,2007,45473
Norway,GDP per hour worked,Total,US dollars,2007,81.266766
Norway,Employment rate,Total,% of working age population,2007,76.825
Norway,Gender wage gap,Employees,Percentage,2007,8.789439794
Norway,Employment rate,Total,Thousand persons,2007,2434.15
Norway,Employment rate,Men,Thousand persons,2007,1281.45
Norway,Employment rate,Women,Thousand persons,2006,1110.25
Norway,Employment rate,Men,% of working age population,2006,78.425
Norway,Gender wage gap,Self-employed,Percentage,2006,27.91967011
Norway,Gross domestic product (GDP),Total,Million US dollars,2006,253397.182
Norway,Gender wage gap,Employees,Percentage,2005,8.624376336
Sweden,Exchange rates,Total,National currency units/US dollar,2014,6.860785
Norway,Gross domestic product (GDP),Total,US dollars/capita,2005,47969.88536
Norway,Air pollution exposure,Exposure to PM2.5,% of population,2005,16.559
Norway,Average wages,Total,US dollars,2008,46429
Norway,GDP per hour worked,Total,US dollars,2008,78.861584
Norway,Employment rate,Total,% of working age population,2008,77.95
Sweden,Purchasing power parities (PPP),Total,National currency units/US dollar,2014,8.727131
Norway,GDP per hour worked,Total,2015=100,2008,96.742409
Norway,Trust in government,Total,Percentage,2008,54.07600064
Norway,Employment rate,Women,Thousand persons,2008,1190.625
Norway,Gender wage gap,Self-employed,Percentage,2004,32.48556519
Norway,Gross domestic product (GDP),Total,Million US dollars,2004,195950.283
Norway,Gender wage gap,Employees,Percentage,2004,8.449669361
Norway,Employment rate,Women,% of working age population,2010,73.25
Switzerland,Exchange rates,Total,National currency units/US dollar,2014,0.916151
Norway,Gross domestic product (GDP),Total,US dollars/capita,2010,58222.61756
Norway,Air pollution exposure,Exposure to PM2.5,% of population,2010,20.056
Norway,Average wages,Total,US dollars,2010,47531
Norway,GDP per hour worked,Total,US dollars,2010,79.200218
Norway,Employment rate,Total,% of working age population,2010,75.3
Switzerland,Purchasing power parities (PPP),Total,National currency units/US dollar,2014,1.281761
Norway,GDP per hour worked,Total,2015=100,2010,97.157823
Norway,Trust in government,Total,Percentage,2021,77.35231978
Norway,Gender wage gap,Employees,Percentage,2021,4.601479047
Norway,Employment rate,Women,Thousand persons,2021,1316.775
Norway,Gross domestic product (GDP),Total,US dollars/capita,2021,86897.26064
Türkiye,Exchange rates,Total,National currency units/US dollar,2014,2.188542
Norway,GDP per hour worked,Total,2015=100,2009,96.664018
Norway,Employment rate,Total,Thousand persons,2009,2499.475
Norway,Employment rate,Women,% of working age population,2009,74.4
Norway,Employment rate,Men,% of working age population,2009,78.325
Norway,Trust in government,Total,Percentage,2012,66.33405052
Norway,Gender wage gap,Self-employed,Percentage,2012,18.67658234
Norway,Gross domestic product (GDP),Total,Million US dollars,2012,330093.373
Norway,Gender wage gap,Employees,Percentage,2012,5.792118487
Norway,Employment rate,Men,Thousand persons,2012,1362.25
Norway,Employment rate,Women,% of working age population,2012,73.75
Norway,Employment rate,Men,% of working age population,2015,76.525
Norway,Air pollution exposure,Exposure to PM2.5,% of population,2015,0.753
Norway,Average wages,Total,US dollars,2015,52068
Norway,GDP per hour worked,Total,US dollars,2015,81.517077
Norway,Trust in government,Total,Percentage,2015,58.68716166
Norway,Gender wage gap,Employees,Percentage,2015,6.957773513
Norway,Employment rate,Men,Thousand persons,2015,1394.725
Norway,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,7.066
Türkiye,Purchasing power parities (PPP),Total,National currency units/US dollar,2014,1.104504
Norway,Gross domestic product (GDP),Total,US dollars/capita,2011,62461.20278
Norway,Gender wage gap,Self-employed,Percentage,2011,25.35111427
Norway,Gross domestic product (GDP),Total,Million US dollars,2011,309370.337
United Kingdom,Exchange rates,Total,National currency units/US dollar,2014,0.60773
Norway,GDP per hour worked,Total,2015=100,2011,96.512861
Norway,Employment rate,Total,Thousand persons,2011,2535.525
Norway,Gross domestic product (GDP),Total,US dollars/capita,2019,70938.2251
Norway,Gender wage gap,Self-employed,Percentage,2019,18.98992729
Norway,Gross domestic product (GDP),Total,Million US dollars,2019,379377.628
United Kingdom,Purchasing power parities (PPP),Total,National currency units/US dollar,2014,0.698444
Norway,GDP per hour worked,Total,2015=100,2019,101.566262
United States,Exchange rates,Total,National currency units/US dollar,2014,1
Norway,Employment rate,Total,% of working age population,2019,75.3
Norway,Employment rate,Total,Thousand persons,2019,2715.55
United States,Purchasing power parities (PPP),Total,National currency units/US dollar,2014,1
Norway,GDP per hour worked,Total,2015=100,2017,102.753489
Albania,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,42.705663
Norway,Employment rate,Total,% of working age population,2017,74
Norway,Employment rate,Total,Thousand persons,2017,2643.875
Norway,Employment rate,Women,% of working age population,2017,72.4
Norway,Employment rate,Men,% of working age population,2017,75.575
Norway,Employment rate,Men,Thousand persons,2017,1391.775
Norway,Air pollution exposure,Exposure to PM2.5,% of population,2017,0.753
Norway,Employment rate,Women,% of working age population,2018,72.65
Norway,Gross domestic product (GDP),Total,US dollars/capita,2018,70252.73545
Norway,Air pollution exposure,Exposure to PM2.5,% of population,2018,0.753
Norway,Average wages,Total,US dollars,2018,51340
Norway,GDP per hour worked,Total,US dollars,2018,83.113366
Albania,Exchange rates,Total,National currency units/US dollar,2015,125.961667
Norway,GDP per hour worked,Total,2015=100,2018,101.958227
Norway,Gender wage gap,Employees,Percentage,2013,6.597045339
Norway,Employment rate,Men,Thousand persons,2013,1371.1
Norway,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,7.345
Norway,Employment rate,Women,Thousand persons,2013,1230.45
Argentina,Exchange rates,Total,National currency units/US dollar,2015,9.233186
Norway,Gross domestic product (GDP),Total,US dollars/capita,2013,67372.92818
Norway,GDP per hour worked,Total,US dollars,2020,83.542256
Norway,Gross domestic product (GDP),Total,Million US dollars,2020,361020.392
Norway,Trust in government,Total,Percentage,2020,82.92342108
Norway,Gender wage gap,Employees,Percentage,2020,4.813863928
Norway,Air pollution exposure,Exposure to PM2.5,% of population,2016,0.753
Norway,Average wages,Total,US dollars,2016,51226
Norway,GDP per hour worked,Total,US dollars,2016,82.063215
Argentina,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,6.866548
Norway,GDP per hour worked,Total,2015=100,2016,100.669968
Australia,Exchange rates,Total,National currency units/US dollar,2015,1.33109
Norway,Employment rate,Total,% of working age population,2016,74.3
Norway,Employment rate,Total,Thousand persons,2016,2638.175
Norway,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,6.639
Norway,Employment rate,Women,Thousand persons,2016,1250.725
Norway,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,7.497
Norway,Employment rate,Women,Thousand persons,2014,1242.95
Norway,Employment rate,Men,% of working age population,2014,77
Norway,Gender wage gap,Self-employed,Percentage,2014,17.39384079
Norway,Gross domestic product (GDP),Total,Million US dollars,2014,340765.256
Norway,Trust in government,Total,Percentage,2014,69.96905072
Norway,Employment rate,Total,Thousand persons,2005,2282.625
Norway,Employment rate,Men,Thousand persons,2005,1204.4
Norway,Employment rate,Women,Thousand persons,2005,1078.25
Norway,Employment rate,Women,Thousand persons,1999,1050
Norway,Employment rate,Total,Thousand persons,1999,2233
Norway,Employment rate,Men,Thousand persons,1999,1184
Norway,Employment rate,Women,% of working age population,2020,72.65
Norway,Employment rate,Men,Thousand persons,2004,1192.125
Norway,Employment rate,Total,Thousand persons,2004,2266.5
Norway,Employment rate,Women,% of working age population,2004,72.25
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,44.728
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,44.237
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2014,99.981
Oman,Air pollution exposure,Exposure to PM2.5,% of population,1995,99.975
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,42.737
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,40.999
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2012,99.981
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,46.539
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.981
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2013,99.981
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,44.022
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,43.755
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,39.031
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2000,99.974
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,42.999
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.974
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.981
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,43.831
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2011,99.981
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2019,99.981
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.981
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.981
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,43.99
Oman,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.981
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,42.145
Oman,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,40.588
Australia,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,1.473691
Poland,Gross domestic product (GDP),Total,Million US dollars,2022,1716254.587
Poland,Employment rate,Total,Thousand persons,2022,16742.32
Poland,Air pollution exposure,Exposure to PM2.5,% of population,1995,99.994
Poland,GDP per hour worked,Total,US dollars,1995,16.48383
Austria,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.798813
Poland,Gender wage gap,Employees,Percentage,1998,19.1076226
Poland,GDP per hour worked,Total,US dollars,1996,17.156022
Poland,Gross domestic product (GDP),Total,US dollars/capita,1996,8347.667846
Poland,Employment rate,Total,Thousand persons,1996,14968.5
Poland,Gross domestic product (GDP),Total,Million US dollars,1999,388183.91
Poland,Gross domestic product (GDP),Total,US dollars/capita,1997,9018.430963
Poland,Employment rate,Total,Thousand persons,1997,15176.75
Austria,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Belgium,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Gross domestic product (GDP),Total,Million US dollars,2000,408352.628
Poland,GDP per hour worked,Total,2015=100,2000,63.769914
Poland,GDP per hour worked,Total,US dollars,2003,25.3468
Poland,GDP per hour worked,Total,US dollars,2004,26.307045
Poland,Gross domestic product (GDP),Total,US dollars/capita,2004,13354.83659
Poland,Average wages,Total,US dollars,2002,25032.10848
Belgium,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.799998
Poland,Employment rate,Total,Thousand persons,2006,14593.4
Poland,Employment rate,Men,Thousand persons,2001,7796.1
Poland,Average wages,Total,US dollars,2001,25120.04182
Poland,Gross domestic product (GDP),Total,US dollars/capita,2005,13898.41301
Poland,Employment rate,Women,% of working age population,2005,46.8
Brazil,Exchange rates,Total,National currency units/US dollar,2015,3.326904
Brazil,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,1.988814
Poland,Gross domestic product (GDP),Total,US dollars/capita,2021,40022.8502
Poland,Employment rate,Women,% of working age population,2021,63.8
Bulgaria,Exchange rates,Total,National currency units/US dollar,2015,1.7644
Bulgaria,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.678698
Poland,Gross domestic product (GDP),Total,Million US dollars,2021,1527352.009
Poland,Employment rate,Total,Thousand persons,2007,15240.38
Poland,Gender wage gap,Self-employed,Percentage,2007,56.82787323
Poland,Gross domestic product (GDP),Total,Million US dollars,2007,640678.922
Poland,Employment rate,Women,Thousand persons,2007,6837.525
Poland,Trust in government,Total,Percentage,2009,31.19958806
Poland,Average wages,Total,US dollars,2009,26997
Poland,Average wages,Total,US dollars,2010,28091
Poland,Employment rate,Men,% of working age population,2010,62.95
Poland,GDP per hour worked,Total,US dollars,2012,33.099257
Poland,Employment rate,Total,% of working age population,2012,58
Poland,GDP per hour worked,Total,2015=100,2012,94.895242
Poland,Gender wage gap,Employees,Percentage,2012,10.62015527
Poland,Gross domestic product (GDP),Total,US dollars/capita,2012,23300.92291
Poland,Employment rate,Women,% of working age population,2012,51.925
Poland,Gross domestic product (GDP),Total,Million US dollars,2008,697829.214
Poland,Employment rate,Women,Thousand persons,2008,7082.2
Poland,GDP per hour worked,Total,2015=100,2008,81.429216
Poland,Employment rate,Men,Thousand persons,2008,8717.225
Poland,GDP per hour worked,Total,US dollars,2020,41.230426
Poland,Employment rate,Total,% of working age population,2020,67.8
Poland,GDP per hour worked,Total,2015=100,2020,118.207222
Poland,Gross domestic product (GDP),Total,US dollars/capita,2020,35891.26159
Poland,Employment rate,Women,% of working age population,2020,60.95
Poland,Employment rate,Men,% of working age population,2011,63.675
Poland,GDP per hour worked,Total,US dollars,2011,32.549662
Poland,Employment rate,Total,% of working age population,2011,57.45
Poland,Average wages,Total,US dollars,2018,34546
Poland,Employment rate,Women,Thousand persons,2018,7406.925
Poland,Employment rate,Men,% of working age population,2018,72.975
Poland,Employment rate,Men,Thousand persons,2018,9077.125
Poland,Employment rate,Men,% of working age population,2019,74.35
Poland,Employment rate,Men,Thousand persons,2019,9114.375
Poland,Gender wage gap,Self-employed,Percentage,2019,49.73167801
Poland,GDP per hour worked,Total,US dollars,2019,41.752351
Poland,Employment rate,Total,% of working age population,2019,67.525
Poland,Gross domestic product (GDP),Total,US dollars/capita,2013,24028.18672
Poland,Employment rate,Women,% of working age population,2013,52.175
Canada,Exchange rates,Total,National currency units/US dollar,2015,1.278786
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,23.776
Canada,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,1.248042
Poland,Gross domestic product (GDP),Total,Million US dollars,2013,925133.245
Poland,Trust in government,Total,Percentage,2017,50.2480449
Poland,Average wages,Total,US dollars,2017,32475
Poland,Employment rate,Women,Thousand persons,2017,7357.05
Chile,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,391.178861
Poland,Gross domestic product (GDP),Total,Million US dollars,2014,962317.654
Poland,Employment rate,Total,Thousand persons,2014,15861.53
Poland,Employment rate,Men,Thousand persons,2016,8932.425
Poland,Employment rate,Total,Thousand persons,2015,16083.22
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.994
Poland,Gender wage gap,Self-employed,Percentage,2015,57.08498001
Poland,Employment rate,Women,Thousand persons,2015,7216.825
Poland,Employment rate,Men,Thousand persons,2009,8721.575
Poland,Employment rate,Men,% of working age population,2002,56.9
Poland,Employment rate,Women,Thousand persons,1999,6625
Poland,Employment rate,Women,Thousand persons,2000,6521.75
Poland,Employment rate,Men,Thousand persons,2000,8003.775
Poland,Employment rate,Men,% of working age population,2003,56.475
Poland,Employment rate,Total,% of working age population,2003,51.2
Poland,Employment rate,Total,% of working age population,2004,51.65
Poland,Employment rate,Women,% of working age population,2004,46.225
Poland,Gross domestic product (GDP),Total,Million US dollars,1995,296413.064
Poland,Employment rate,Women,Thousand persons,1995,6697
Poland,Gross domestic product (GDP),Total,US dollars/capita,1995,7744.299519
Poland,Employment rate,Total,Thousand persons,1995,14791
Chile,Exchange rates,Total,National currency units/US dollar,2015,654.124084
China (People's Republic of),Exchange rates,Total,National currency units/US dollar,2015,6.227489
Poland,Gender wage gap,Employees,Percentage,1994,18.85394398
Poland,GDP per hour worked,Total,US dollars,1994,15.260127
Poland,Employment rate,Total,Thousand persons,1994,14658
Poland,Employment rate,Men,Thousand persons,1996,8212.7
China (People's Republic of),Purchasing power parities (PPP),Total,National currency units/US dollar,2015,3.870697
Colombia,Exchange rates,Total,National currency units/US dollar,2015,2741.781667
Poland,Gender wage gap,Employees,Percentage,1996,20.46569513
Poland,Gross domestic product (GDP),Total,Million US dollars,1998,366826.956
Poland,Employment rate,Women,Thousand persons,1998,6883.8
Poland,GDP per hour worked,Total,2015=100,1998,54.202662
Poland,Employment rate,Men,Thousand persons,1998,8470.1
Colombia,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,1289.323671
Poland,GDP per hour worked,Total,US dollars,1999,20.605428
Poland,GDP per hour worked,Total,2015=100,1999,59.075557
Poland,Average wages,Total,US dollars,1999,23660.29967
Poland,Gender wage gap,Employees,Percentage,1999,17.55932069
Poland,Average wages,Total,US dollars,1997,21137.09635
Poland,Gender wage gap,Employees,Percentage,1997,18.56877152
Poland,Gross domestic product (GDP),Total,Million US dollars,1997,345333.758
Poland,Employment rate,Women,Thousand persons,1997,6784.1
Poland,Employment rate,Men,Thousand persons,2022,9107.85
Poland,Employment rate,Men,% of working age population,2022,77.275
Costa Rica,Exchange rates,Total,National currency units/US dollar,2015,534.56577
Poland,Gross domestic product (GDP),Total,US dollars/capita,2000,10674.21131
Poland,Average wages,Total,US dollars,2000,23769.612
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2000,99.995
Poland,Gender wage gap,Employees,Percentage,2004,10.63884891
Costa Rica,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,353.963974
Croatia,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.466172
Poland,GDP per hour worked,Total,US dollars,2002,24.271393
Poland,Gross domestic product (GDP),Total,US dollars/capita,2002,11803.76136
Poland,Gross domestic product (GDP),Total,Million US dollars,2003,469501.377
Poland,Gross domestic product (GDP),Total,US dollars/capita,2003,12292.22089
Croatia,Exchange rates,Total,National currency units/US dollar,2015,0.910253
Czechia,Exchange rates,Total,National currency units/US dollar,2015,24.59875
Czechia,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,12.93798
Poland,Employment rate,Men,% of working age population,2001,59.15
Poland,GDP per hour worked,Total,US dollars,2001,23.011311
Poland,Employment rate,Total,% of working age population,2001,53.35
Poland,GDP per hour worked,Total,2015=100,2001,65.973201
Poland,Average wages,Total,US dollars,2005,24682.38028
Poland,Employment rate,Total,Thousand persons,2005,14115.45
Poland,Gender wage gap,Self-employed,Percentage,2005,54.65535736
Poland,Gross domestic product (GDP),Total,Million US dollars,2005,530377.339
Poland,Employment rate,Women,Thousand persons,2005,6306.35
Poland,Employment rate,Men,% of working age population,2006,60.875
Poland,Gender wage gap,Self-employed,Percentage,2006,53.150177
Poland,Gross domestic product (GDP),Total,Million US dollars,2006,577925.805
Poland,Employment rate,Women,Thousand persons,2006,6512.95
Poland,GDP per hour worked,Total,2015=100,2006,78.754908
Poland,Employment rate,Men,Thousand persons,2006,8080.45
Denmark,Exchange rates,Total,National currency units/US dollar,2015,6.727907
Poland,GDP per hour worked,Total,US dollars,2007,28.184305
Poland,Employment rate,Total,% of working age population,2007,57.025
Poland,GDP per hour worked,Total,2015=100,2007,80.804122
Poland,Employment rate,Men,Thousand persons,2007,8402.8
Poland,Trust in government,Total,Percentage,2007,18.78834774
Poland,Average wages,Total,US dollars,2007,25664
Poland,Gross domestic product (GDP),Total,US dollars/capita,2008,18308.03899
Poland,Trust in government,Total,Percentage,2008,28.451151
Poland,Average wages,Total,US dollars,2008,27011
Poland,Gender wage gap,Employees,Percentage,2008,12.99382224
Poland,Gender wage gap,Self-employed,Percentage,2008,58.06636429
Poland,Average wages,Total,US dollars,2021,37126.69346
Poland,Employment rate,Women,Thousand persons,2021,7538.65
Poland,Employment rate,Total,Thousand persons,2021,16656.13
Poland,GDP per hour worked,Total,2015=100,2021,119.27761
Poland,Employment rate,Total,Thousand persons,2010,15472.83
Poland,Gender wage gap,Employees,Percentage,2010,7.190207044
Poland,Employment rate,Total,% of working age population,2010,56.975
Poland,Gross domestic product (GDP),Total,US dollars/capita,2010,20630.05436
Poland,Employment rate,Women,% of working age population,2010,51.075
Poland,Trust in government,Total,Percentage,2010,35.56062368
Denmark,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,7.305357
Poland,GDP per hour worked,Total,US dollars,2009,29.321396
Poland,GDP per hour worked,Total,2015=100,2009,84.064151
Poland,Gender wage gap,Self-employed,Percentage,2011,61.92814255
Poland,Gross domestic product (GDP),Total,Million US dollars,2011,862451.786
Poland,Employment rate,Women,Thousand persons,2011,6914
Poland,GDP per hour worked,Total,2015=100,2011,93.31956
Poland,Gross domestic product (GDP),Total,US dollars/capita,2011,22386.22712
Poland,Employment rate,Women,% of working age population,2011,51.3
Estonia,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,27.158
Estonia,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.53758
Poland,Employment rate,Men,Thousand persons,2012,8651
Finland,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.907748
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,24.682
Finland,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Gross domestic product (GDP),Total,Million US dollars,2012,897877.763
Poland,Employment rate,Total,Thousand persons,2012,15590.58
Poland,Gross domestic product (GDP),Total,US dollars/capita,2016,27830.92774
Poland,Employment rate,Women,% of working age population,2016,57.35
Poland,Trust in government,Total,Percentage,2016,38.27131909
Poland,Average wages,Total,US dollars,2016,31199
Poland,Employment rate,Women,Thousand persons,2016,7263.625
Poland,Employment rate,Men,% of working age population,2016,69.625
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.986
Poland,Gender wage gap,Self-employed,Percentage,2016,53.31880951
Poland,Employment rate,Men,% of working age population,2014,66.45
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2014,99.995
Poland,Gender wage gap,Self-employed,Percentage,2014,58.68841553
Poland,Employment rate,Women,Thousand persons,2014,7083.775
Poland,Employment rate,Men,Thousand persons,2014,8777.725
France,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.808694
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,24.017
Poland,Gender wage gap,Employees,Percentage,2014,11.07286288
Poland,GDP per hour worked,Total,US dollars,2015,34.879786
Poland,Employment rate,Total,% of working age population,2015,61.6
Poland,Employment rate,Men,Thousand persons,2015,8866.4
Poland,Trust in government,Total,Percentage,2015,21.14279173
Poland,Average wages,Total,US dollars,2015,29635
Poland,Average wages,Total,US dollars,2013,28274
Poland,Employment rate,Total,Thousand persons,2013,15568.03
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2013,99.994
Poland,Gender wage gap,Self-employed,Percentage,2013,60.21186829
Poland,Employment rate,Women,Thousand persons,2013,6926.9
Poland,GDP per hour worked,Total,2015=100,2013,95.948364
Poland,Employment rate,Total,Thousand persons,2018,16484.05
Poland,Gender wage gap,Self-employed,Percentage,2018,49.39813232
Poland,GDP per hour worked,Total,US dollars,2018,39.854227
Poland,Employment rate,Total,% of working age population,2018,66.675
Poland,GDP per hour worked,Total,2015=100,2018,114.261674
Poland,Gross domestic product (GDP),Total,US dollars/capita,2018,31662.21054
Poland,Employment rate,Women,% of working age population,2018,60.35
Poland,Trust in government,Total,Percentage,2018,42.75177053
Poland,Gender wage gap,Employees,Percentage,2020,8.690614137
France,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Georgia,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.753517
Poland,Gross domestic product (GDP),Total,Million US dollars,2020,1376573.447
Georgia,Exchange rates,Total,National currency units/US dollar,2015,2.269342
Poland,Gross domestic product (GDP),Total,Million US dollars,2017,1137654.148
Poland,Employment rate,Men,Thousand persons,2017,9065.175
Poland,Employment rate,Men,% of working age population,2017,71.65
Poland,Gender wage gap,Self-employed,Percentage,2017,50.21768951
Poland,GDP per hour worked,Total,US dollars,2017,37.315221
Poland,Employment rate,Total,% of working age population,2017,65.25
Poland,GDP per hour worked,Total,2015=100,2019,119.703575
Poland,Gross domestic product (GDP),Total,US dollars/capita,2019,35099.14103
Poland,Employment rate,Women,% of working age population,2019,60.725
Germany,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,22.766
Germany,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.778122
Poland,Gross domestic product (GDP),Total,Million US dollars,2019,1347315.628
Poland,Gross domestic product (GDP),Total,US dollars/capita,1994,7096.376235
Poland,Employment rate,Men,% of working age population,2009,63.625
Poland,Employment rate,Total,% of working age population,2009,57.175
Poland,Employment rate,Total,Thousand persons,2002,13781.55
Poland,Employment rate,Total,% of working age population,2002,51.475
Poland,Employment rate,Women,% of working age population,2002,46.25
Poland,Employment rate,Men,Thousand persons,1999,8132
Poland,Employment rate,Women,Thousand persons,2003,6184.45
Poland,Employment rate,Women,% of working age population,2003,46
Poland,Employment rate,Total,Thousand persons,2020,16441.4
Poland,Employment rate,Women,% of working age population,2000,48.925
Poland,Employment rate,Men,% of working age population,2000,61.225
Poland,GDP per hour worked,Total,US dollars,2010,31.083531
Poland,GDP per hour worked,Total,2015=100,2010,89.116174
Poland,Employment rate,Men,Thousand persons,2004,7564.2
Poland,Employment rate,Total,Thousand persons,2004,13793.2
Poland,Employment rate,Women,% of working age population,2008,52.375
Poland,Employment rate,Men,% of working age population,2008,66.3
Poland,Employment rate,Women,Thousand persons,1994,6653
Poland,GDP per hour worked,Total,2015=100,1994,43.750633
Poland,Employment rate,Men,Thousand persons,1994,8008
Greece,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Greece,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.60907
Poland,GDP per hour worked,Total,2015=100,1995,47.258978
Poland,Employment rate,Men,Thousand persons,1995,8095
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,32.434
Poland,Average wages,Total,US dollars,1995,18619
Poland,Gender wage gap,Employees,Percentage,1995,20.10461352
Poland,Average wages,Total,US dollars,1996,20106.33276
Poland,Gross domestic product (GDP),Total,Million US dollars,1996,319623.854
Poland,Employment rate,Women,Thousand persons,1996,6754.8
Poland,GDP per hour worked,Total,2015=100,1996,49.186145
Poland,GDP per hour worked,Total,US dollars,1997,18.056551
Poland,GDP per hour worked,Total,2015=100,1997,51.767954
Poland,Employment rate,Men,Thousand persons,1997,8401.7
Poland,GDP per hour worked,Total,2015=100,2003,72.669024
Poland,Average wages,Total,US dollars,2003,25339.5485
Poland,GDP per hour worked,Total,US dollars,1998,18.905772
Poland,Gross domestic product (GDP),Total,US dollars/capita,1998,9581.730131
Poland,Average wages,Total,US dollars,1998,21767.8813
Poland,Gross domestic product (GDP),Total,US dollars/capita,1999,10143.29528
Hungary,Exchange rates,Total,National currency units/US dollar,2015,279.3325
Hungary,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,132.55351
Poland,Employment rate,Total,Thousand persons,2001,14205.6
Poland,Gender wage gap,Employees,Percentage,2001,14.29974246
Poland,Gross domestic product (GDP),Total,Million US dollars,2001,425433.446
Poland,Employment rate,Women,Thousand persons,2001,6409.5
Poland,Gross domestic product (GDP),Total,US dollars/capita,2001,11122.15225
Poland,Employment rate,Women,% of working age population,2001,47.7
Iceland,Exchange rates,Total,National currency units/US dollar,2015,131.918708
Poland,GDP per hour worked,Total,US dollars,2022,43.931796
Poland,Employment rate,Total,% of working age population,2022,71.35
Poland,GDP per hour worked,Total,2015=100,2022,125.952025
Poland,Employment rate,Women,% of working age population,2022,65.4
