Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Australia,Air pollution exposure,Exposure to PM2.5,% of population,2016,0.004
Australia,Gender wage gap,Employees,Percentage,2015,13.30769231
Australia,GDP per hour worked,Total,US dollars,1999,43.2681
Australia,GDP per hour worked,Total,2015=100,1999,79.911126
Australia,Employment rate,Women,Thousand persons,1995,3523.509
Australia,Employment rate,Total,% of working age population,1995,67.62838
Australia,Air pollution exposure,Exposure to PM2.5,% of population,1995,3.002
Australia,GDP per hour worked,Total,2015=100,2000,80.804204
Australia,Gross domestic product (GDP),Total,Million US dollars,1995,404102.992
Australia,GDP per hour worked,Total,US dollars,2000,43.75166
Australia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,7.496
Australia,Gender wage gap,Employees,Percentage,1994,14.40972222
Denmark,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,8.732097
Australia,Average wages,Total,US dollars,1994,43873.85695
Estonia,Exchange rates,Total,National currency units/US dollar,1995,0.732731
Australia,Gross domestic product (GDP),Total,US dollars/capita,1994,21434.24519
Australia,Employment rate,Women,Thousand persons,1994,3367.054
Australia,Employment rate,Total,% of working age population,1994,66.00251
Australia,Employment rate,Men,Thousand persons,1994,4532.231
Australia,GDP per hour worked,Total,US dollars,2001,45.268479
Australia,Gross domestic product (GDP),Total,Million US dollars,1996,424472.904
Australia,Employment rate,Total,Thousand persons,1996,8298.891
Estonia,Purchasing power parities (PPP),Total,National currency units/US dollar,1995,0.307611
Australia,Gender wage gap,Employees,Percentage,1998,13.24200913
Australia,Employment rate,Men,% of working age population,1998,76.17059
Australia,Employment rate,Women,% of working age population,1998,59.40298
Australia,Average wages,Total,US dollars,1999,48064.87024
Finland,Exchange rates,Total,National currency units/US dollar,1995,0.734421
Australia,Gross domestic product (GDP),Total,US dollars/capita,1999,27160.31497
Australia,Employment rate,Women,% of working age population,1999,59.85204
Australia,Employment rate,Men,% of working age population,1999,76.59881
Australia,Employment rate,Men,Thousand persons,1999,4890.84
Australia,Employment rate,Total,Thousand persons,1999,8672.614
Australia,Employment rate,Total,Thousand persons,1997,8366.658
Australia,Gender wage gap,Employees,Percentage,1997,15.25423729
Australia,Employment rate,Total,% of working age population,1997,67.36479
Australia,Employment rate,Women,Thousand persons,1997,3624.535
Australia,Gender wage gap,Employees,Percentage,2022,9.875
Australia,Employment rate,Men,% of working age population,2022,80.73112
Australia,Employment rate,Women,% of working age population,2022,73.81777
Australia,Employment rate,Men,Thousand persons,2000,4978.391
